date,equity
2026-02-25,99804781.56754883
2026-02-26,104174042.40891846
2026-03-02,107404498.05924805
2026-03-03,103618203.79350097
2026-03-04,95401899.31962402
2026-03-05,94915204.90739258
2026-03-06,95261225.84245117
2026-03-09,88304352.99394043
2026-03-10,89848481.91544922
2026-03-11,96467705.20493896
2026-03-12,98048528.70652588
2026-03-13,102331530.75120361
2026-03-16,106761116.5742627
2026-03-17,110021248.92899902
2026-03-18,113341998.1279126
2026-03-19,116027418.55143555
2026-03-20,115563357.7985669
2026-03-23,109305870.3412915
2026-03-24,105905939.60856445
2026-03-25,111612564.85270508
2026-03-26,109174666.45632812
2026-03-27,109039380.10989258
2026-03-30,109234811.81155273
2026-03-31,108084757.24612305
2026-04-01,109160257.27664062
2026-04-02,108934270.91799805
2026-04-07,109702693.8305957
2026-04-08,110733039.28958008
2026-04-09,110303407.31631348
2026-04-10,111265966.52041504
2026-04-13,111930670.98818848
2026-04-14,112175725.52310058
2026-04-15,112657411.93972656
2026-04-16,113089202.68069336
2026-04-17,113779980.08547851
2026-04-20,113859126.93118164
2026-04-21,114984726.66262695
2026-04-22,115013389.8248584
2026-04-23,112630194.71072266
2026-04-24,110775244.64510986
2026-04-27,104509909.88479249
2026-04-28,106894400.22216432
2026-04-29,109005009.57809083
2026-04-30,111655029.93331544
2026-05-04,116854061.5113794
2026-05-05,117353528.75838868
2026-05-06,116276976.51229493
2026-05-07,117283755.73287599
2026-05-08,112705439.75768678
2026-05-11,113637502.42171876
2026-05-12,117250766.871792
2026-05-13,116711146.28921144
2026-05-14,116268546.91634767
2026-05-15,115663517.92464845
2026-05-18,115651398.94805543
2026-05-19,111175831.06516358
2026-05-20,110967522.26160523
2026-05-21,111372423.09473512
2026-05-22,114530501.85297486
2026-05-25,117707990.47754762
2026-05-26,119746126.15140162
2026-05-27,120271509.34352504
2026-05-28,121297387.1149026
2026-05-29,123726181.47315608
2026-06-01,124462023.16798793
2026-06-02,124462735.7105218
2026-06-03,123737783.29887019
2026-06-04,121616332.51418696
2026-06-05,121279406.74533473
2026-06-08,118829725.55961238
2026-06-09,121309651.99889766
2026-06-10,119489253.89709102
2026-06-11,121098743.62983333
2026-06-12,122626533.24832545
2026-06-15,126605140.36216365
2026-06-16,126043380.64076471
2026-06-17,130949814.54255152
2026-06-18,133560470.83700494
2026-06-22,136114301.15164423
2026-06-23,132028911.11029291
2026-06-24,133679548.05261767
2026-06-25,132334441.8114838
